Time,Delta,Theta,Low_Alpha,High_Alpha,Low_Beta,High_Beta,Low_Gamma,High_Gamma,Attention,Meditation,Signal
2016-03-11 16:01:39.610000,662391.0,334045.0,216335.0,132022.0,40548.0,8699.0,6391.0,6029.0,0,0,51
2016-03-11 16:01:40.611000,1792582.0,15157.0,11443.0,10444.0,7746.0,1835.0,1869.0,551.0,0,0,26
2016-03-11 16:01:41.615000,481102.0,51815.0,2309.0,5046.0,4571.0,9898.0,1871.0,363.0,0,0,25
2016-03-11 16:01:42.602000,3100810.0,53983.0,39374.0,9503.0,62152.0,44466.0,3381.0,2074.0,0,0,26
2016-03-11 16:01:43.605000,363921.0,21867.0,2260.0,6774.0,5102.0,2002.0,797.0,436.0,0,0,25
2016-03-11 16:01:44.595000,841990.0,37082.0,9081.0,26541.0,9824.0,15601.0,1985.0,4547.0,51,51,0
2016-03-11 16:01:45.592000,97146.0,10303.0,2552.0,6614.0,8023.0,4426.0,1522.0,1200.0,64,61,0
2016-03-11 16:01:46.599000,246622.0,147443.0,24032.0,12227.0,18583.0,2044.0,6012.0,2480.0,50,64,0
2016-03-11 16:01:47.579000,598636.0,127515.0,63168.0,53354.0,28344.0,11787.0,3166.0,6999.0,48,80,0
2016-03-11 16:01:48.576000,164765.0,58965.0,15690.0,10509.0,9526.0,4413.0,8107.0,1001.0,35,75,0
2016-03-11 16:01:49.572000,65448.0,80047.0,43777.0,24541.0,12962.0,5022.0,5156.0,4214.0,14,83,0
2016-03-11 16:01:50.564000,1026891.0,54066.0,19166.0,48499.0,63641.0,46710.0,12804.0,6216.0,14,83,25
2016-03-11 16:01:51.578000,329147.0,11793.0,3006.0,2007.0,1261.0,518.0,188.0,120.0,14,83,51
2016-03-11 16:01:52.561000,118332.0,6771.0,6922.0,5128.0,2848.0,1130.0,975.0,501.0,14,83,25
2016-03-11 16:01:53.556000,581177.0,10202.0,3395.0,7109.0,20662.0,3109.0,763.0,457.0,14,83,26
2016-03-11 16:01:54.551000,938169.0,21926.0,12090.0,13677.0,3744.0,3345.0,731.0,330.0,14,83,26
